time,tempICP,hum,tempSI7021,windSpeed,pres,RVPin,TMPPin,noise,noiseCalib,lum,meanRadTempPin,meanRadTempCalib,trNat,trFor
Fri Nov 10 21:48:53 2023,21.20712,48.81339,20.98624,0.006811984,99561.94,2334,3049,28,53.71545,0.0,19.8125,18.42,16.47293,18.37857
Fri Nov 10 21:49:54 2023,21.19644,48.80576,20.9648,0.008400179,99561.43,2341,2997,20,56.42435,0.0,19.75,18.33,16.31509,18.28168
Fri Nov 10 21:50:55 2023,21.19377,48.82102,20.99697,0.005368518,99561.58,2327,2979,22,55.82215,0.0,19.75,18.33,16.28397,18.2926
Fri Nov 10 21:51:56 2023,21.18042,48.8439,20.99697,0.01232366,99558.72,2354,3001,19,56.71048,0.0,19.8125,18.42,16.46262,18.3606
Fri Nov 10 21:52:57 2023,21.16974,48.85153,20.98624,0.01718968,99560.2,2368,3056,28,53.71545,0.0,19.8125,18.42,16.47293,18.34775
Fri Nov 10 21:53:57 2023,21.16173,48.86679,20.95407,0.006444864,99558.73,2333,2992,26,54.47589,0.0,19.75,18.33,16.32544,18.28894
Fri Nov 10 21:54:58 2023,21.15906,48.85916,20.97552,0.01156103,99559.37,2352,3058,22,55.82215,0.0,19.75,18.33,16.30472,18.27124
Fri Nov 10 21:55:59 2023,21.15105,48.8439,20.95407,0.01508231,99560.12,2363,3058,24,55.17508,0.0,19.75,18.33,16.32544,18.26163
Fri Nov 10 21:57:00 2023,21.14037,48.88205,20.95407,0.005008318,99562.37,2326,3037,30,52.882,0.0,19.75,18.33,16.32544,18.29471
Fri Nov 10 21:58:01 2023,21.13235,48.85916,20.94334,0.0107628,99564.44,2350,3057,22,55.82215,0.0,19.75,18.33,16.33579,18.27438
Fri Nov 10 21:59:02 2023,21.13503,48.88968,20.94334,0.01136303,99564.59,2352,3058,27,54.10399,0.0,19.6875,18.24,16.15668,18.18051
Fri Nov 10 22:00:02 2023,21.10832,48.88968,20.93262,0.007738591,99565.86,2339,3046,27,54.10399,0.0,19.6875,18.24,16.16712,18.19293
Fri Nov 10 22:01:03 2023,21.10031,48.92783,20.9219,0.01280481,99567.45,2357,3063,27,54.10399,0.0,19.75,18.33,16.35641,18.26877
Fri Nov 10 22:02:04 2023,21.08696,48.91257,20.91117,0.01116715,99569.88,2352,3023,23,55.50464,0.0,19.6875,18.24,16.18796,18.18182
Fri Nov 10 22:03:05 2023,21.06293,48.94309,20.88972,0.01644399,99571.14,2368,3056,26,54.47589,0.0,19.6875,18.24,16.20877,18.16721
Fri Nov 10 22:04:06 2023,21.06026,48.95072,20.88972,0.01259456,99575.55,2357,3003,33,51.45948,0.0,19.6875,18.24,16.20877,18.17798
