#t (s)	T TESTO (°C)	T DS18B20 (°C)
556	31.7	27.9375
557	31.8	28
558	31.8	27.9375
559	31.8	27.9375
560	31.8	27.9375
561	31.8	27.9375
562	31.8	27.9375
563	31.8	28
564	31.8	28
565	31.8	28
566	31.8	28
567	31.8	27.9375
568	31.8	28
569	31.8	28
570	31.8	28
571	31.8	28
572	31.8	28
573	31.8	28
574	31.8	28
575	31.9	28
576	31.9	28
577	31.9	28
578	31.9	28.0625
579	31.9	28.0625
580	31.9	28.0625
581	31.9	28.0625
582	31.9	28.0625
583	31.9	28.0625
584	31.9	28.0625
585	31.9	28.0625
586	31.9	28.0625
587	31.9	28.125
588	31.9	28.0625
589	31.9	28.125
590	31.9	28.0625
591	31.9	28.0625
592	31.9	28.125
593	31.9	28.125
594	31.9	28.125
595	32	28.125
596	32	28.125
597	32	28.125
598	32	28.125
599	32	28.125
600	32	28.125
601	32	28.125
602	32	28.1875
603	32	28.125
604	32	28.1875
605	32	28.125
606	32	28.125
607	32	28.1875
608	32	28.1875
609	32	28.1875
610	32	28.1875
611	32	28.1875
612	32	28.1875
613	32	28.1875
614	32	28.25
615	32.1	28.1875
616	32.1	28.25
617	32.1	28.25
618	32.1	28.25
619	32.1	28.1875
620	32.1	28.25
621	32.1	28.1875
622	32.1	28.25
623	32.1	28.25
624	32.1	28.25
625	32.1	28.25
626	32.1	28.25
627	32.1	28.25
628	32.1	28.25
629	32.2	28.3125
630	32.2	28.3125
631	32.2	28.25
632	32.2	28.25
633	32.2	28.3125
634	32.2	28.3125
635	32.2	28.3125
636	32.2	28.3125
637	32.2	28.3125
638	32.2	28.3125
639	32.2	28.3125
640	32.2	28.3125
641	32.2	28.3125
642	32.2	28.3125
643	32.2	28.375
644	32.2	28.3125
645	32.2	28.375
646	32.2	28.3125
647	32.2	28.375
648	32.3	28.375
649	32.3	28.375
650	32.3	28.375
651	32.3	28.375
652	32.3	28.375
653	32.3	28.375
654	32.3	28.375
655	32.3	28.375
656	32.3	28.375
657	32.3	28.375
658	32.3	28.4375
659	32.3	28.375
660	32.3	28.375
661	32.3	28.375
662	32.3	28.4375
663	32.3	28.4375
664	32.3	28.4375
665	32.3	28.4375
666	32.3	28.4375
667	32.3	28.4375
668	32.3	28.4375
669	32.3	28.4375
670	32.4	28.4375
671	32.4	28.4375
672	32.4	28.4375
673	32.4	28.4375
674	32.4	28.4375
675	32.4	28.4375
676	32.4	28.5
677	32.4	28.4375
678	32.4	28.4375
679	32.4	28.5
680	32.4	28.5
681	32.4	28.5
682	32.4	28.5
683	32.4	28.5
684	32.4	28.5
685	32.4	28.5
686	32.4	28.5
687	32.4	28.5
688	32.4	28.5
689	32.4	28.5625
690	32.4	28.5625
691	32.4	28.5
692	32.4	28.5625
693	32.4	28.5625
694	32.5	28.5
