#t(s)	T TESTO (°C)	T DS18B20 (°C)
692	34.5	30.375
693	34.5	30.375
694	34.5	30.375
695	34.5	30.375
696	34.6	30.375
697	34.6	30.375
698	34.6	30.375
699	34.6	30.375
700	34.6	30.375
701	34.6	30.375
702	34.6	30.375
703	34.6	30.375
704	34.6	30.375
705	34.6	30.375
706	34.6	30.375
707	34.6	30.375
708	34.6	30.375
709	34.6	30.375
710	34.6	30.375
711	34.6	30.375
712	34.6	30.375
713	34.6	30.375
714	34.6	30.375
715	34.6	30.375
716	34.6	30.375
717	34.6	30.375
718	34.6	30.375
719	34.6	30.375
720	34.6	30.375
721	34.6	30.375
722	34.6	30.375
723	34.6	30.375
724	34.6	30.375
725	34.6	30.375
726	34.6	30.4375
727	34.6	30.4375
728	34.6	30.375
729	34.6	30.375
730	34.6	30.375
731	34.6	30.375
732	34.6	30.4375
733	34.6	30.375
734	34.6	30.375
735	34.6	30.375
736	34.6	30.375
737	34.6	30.375
738	34.6	30.4375
739	34.6	30.375
740	34.6	30.4375
741	34.6	30.375
742	34.6	30.375
743	34.6	30.375
744	34.6	30.375
745	34.6	30.375
746	34.6	30.375
747	34.6	30.4375
748	34.6	30.4375
749	34.6	30.4375
750	34.6	30.4375
751	34.6	30.4375
752	34.6	30.375
753	34.6	30.4375
754	34.6	30.4375
755	34.6	30.4375
756	34.6	30.4375
757	34.6	30.4375
758	34.6	30.375
759	34.6	30.4375
760	34.6	30.375
761	34.6	30.4375
762	34.6	30.4375
763	34.6	30.4375
764	34.6	30.4375
765	34.6	30.4375
766	34.6	30.4375
767	34.6	30.4375
768	34.6	30.4375
769	34.6	30.4375
770	34.6	30.4375
771	34.6	30.4375
772	34.6	30.4375
773	34.6	30.4375
774	34.6	30.4375
775	34.6	30.4375
776	34.6	30.4375
777	34.6	30.4375
778	34.6	30.4375
779	34.6	30.4375
780	34.6	30.4375
781	34.6	30.4375
782	34.6	30.4375
783	34.6	30.4375
784	34.6	30.4375
785	34.6	30.4375
786	34.6	30.4375
787	34.6	30.4375
788	34.6	30.4375
789	34.6	30.4375
790	34.6	30.4375
791	34.6	30.4375
792	34.6	30.4375
793	34.6	30.4375
794	34.6	30.4375
795	34.6	30.4375
796	34.6	30.4375
797	34.6	30.4375
798	34.6	30.4375
799	34.6	30.4375
800	34.6	30.4375
801	34.6	30.5
802	34.6	30.4375
803	34.6	30.4375
804	34.6	30.4375
805	34.6	30.4375
806	34.6	30.4375
807	34.6	30.4375
808	34.6	30.4375
809	34.7	30.5
810	34.7	30.4375
811	34.7	30.4375
812	34.7	30.4375
813	34.7	30.5
814	34.7	30.5
815	34.7	30.4375
816	34.7	30.4375
817	34.7	30.5
818	34.7	30.4375
819	34.7	30.4375
820	34.7	30.5
821	34.7	30.4375
822	34.7	30.4375
823	34.7	30.4375
824	34.7	30.5
825	34.7	30.5
826	34.7	30.4375
827	34.7	30.5
828	34.7	30.5
829	34.7	30.5
830	34.7	30.5
831	34.7	30.5
832	34.7	30.5
833	34.7	30.5
834	34.7	30.5
835	34.7	30.5
836	34.7	30.5
837	34.7	30.5
838	34.7	30.5
839	34.7	30.4375
840	34.7	30.5
841	34.7	30.5
842	34.7	30.5
843	34.7	30.5
844	34.7	30.5
845	34.7	30.5
846	34.7	30.5
847	34.7	30.5
848	34.7	30.5
849	34.7	30.5
850	34.7	30.5
851	34.7	30.5
852	34.7	30.5
853	34.7	30.5
854	34.7	30.5
855	34.7	30.5
856	34.7	30.5
857	34.7	30.5
858	34.7	30.5
859	34.7	30.5
860	34.7	30.5
861	34.7	30.5
862	34.7	30.5
863	34.7	30.5
864	34.7	30.5
865	34.7	30.5
866	34.7	30.5
867	34.7	30.5
868	34.7	30.5
869	34.7	30.5
870	34.7	30.5
871	34.7	30.5
872	34.7	30.5
873	34.7	30.5
874	34.7	30.5
875	34.7	30.5
876	34.7	30.5625
877	34.8	30.5
878	34.8	30.5
879	34.8	30.5
880	34.8	30.5
881	34.7	30.5
882	34.7	30.5625
883	34.7	30.5625
884	34.7	30.5
885	34.7	30.5
886	34.7	30.5625
887	34.7	30.5
888	34.7	30.5
889	34.8	30.5625
890	34.8	30.5
891	34.7	30.5
892	34.7	30.5625
893	34.8	30.5
894	34.8	30.5
895	34.8	30.5625
896	34.8	30.5
897	34.8	30.5
898	34.8	30.5625
899	34.8	30.5625
900	34.8	30.5625
901	34.8	30.5625
902	34.8	30.5
903	34.8	30.5625
904	34.8	30.5625
905	34.8	30.5625
906	34.8	30.5
907	34.8	30.5625
908	34.8	30.5625
909	34.8	30.5625
910	34.8	30.5625
911	34.8	30.5625
912	34.8	30.5625
913	34.8	30.5625
914	34.8	30.5625
915	34.8	30.5625
916	34.8	30.5625
917	34.8	30.5625
918	34.8	30.5625
919	34.8	30.5625
920	34.8	30.5625
921	34.8	30.5625
922	34.8	30.5625
923	34.8	30.5625
924	34.8	30.5625
925	34.8	30.5625
926	34.8	30.5625
927	34.8	30.5625
928	34.8	30.5625
929	34.8	30.5625
930	34.8	30.5625
931	34.8	30.5625
932	34.8	30.5625
933	34.8	30.5625
934	34.8	30.5625
935	34.8	30.5625
936	34.8	30.5625
937	34.8	30.5625
938	34.8	30.5625
939	34.8	30.5625
940	34.8	30.5625
941	34.8	30.5625
942	34.8	30.5625
943	34.8	30.5625
944	34.8	30.5625
945	34.8	30.5625
946	34.8	30.5625
947	34.8	30.5625
948	34.8	30.5625
949	34.8	30.625
950	34.8	30.625
951	34.8	30.5625
952	34.8	30.5625
953	34.8	30.5625
954	34.8	30.5625
955	34.8	30.5625
956	34.8	30.5625
957	34.8	30.5625
958	34.8	30.5625
959	34.8	30.5625
960	34.8	30.5625
961	34.8	30.5625
962	34.8	30.625
963	34.8	30.625
964	34.8	30.625
965	34.8	30.5625
966	34.8	30.625
967	34.8	30.5625
968	34.8	30.625
969	34.8	30.5625
970	34.8	30.625
971	34.8	30.5625
972	34.8	30.5625
973	34.8	30.5625
974	34.8	30.625
975	34.8	30.625
976	34.8	30.625
977	34.8	30.625
978	34.8	30.5625
979	34.8	30.625
980	34.8	30.625
