NO;SOUND;UNIT;TIME
256;49.3;dBC;05-04-24/14:28:50
257;48.6;dBC;05-04-24/14:29:00
258;53.4;dBC;05-04-24/14:29:10
259;50.5;dBC;05-04-24/14:29:20
260;50.8;dBC;05-04-24/14:29:30
261;50.5;dBC;05-04-24/14:29:40
262;55.5;dBC;05-04-24/14:29:50
263;53.1;dBC;05-04-24/14:30:00
264;54.1;dBC;05-04-24/14:30:10
265;57.7;dBC;05-04-24/14:30:20
266;55.5;dBC;05-04-24/14:30:30
267;50.3;dBC;05-04-24/14:30:40
268;48.1;dBC;05-04-24/14:30:50
269;49.8;dBC;05-04-24/14:31:00
270;51.9;dBC;05-04-24/14:31:10
271;52.2;dBC;05-04-24/14:31:20
272;52.2;dBC;05-04-24/14:31:30
273;51.0;dBC;05-04-24/14:31:40
274;58.4;dBC;05-04-24/14:31:50
275;54.6;dBC;05-04-24/14:32:00
276;53.4;dBC;05-04-24/14:32:10
277;56.2;dBC;05-04-24/14:32:20
278;61.0;dBC;05-04-24/14:32:30
279;57.7;dBC;05-04-24/14:32:40
280;57.2;dBC;05-04-24/14:32:50
281;53.9;dBC;05-04-24/14:33:00
282;51.7;dBC;05-04-24/14:33:10
283;50.0;dBC;05-04-24/14:33:20
284;49.6;dBC;05-04-24/14:33:30
285;49.8;dBC;05-04-24/14:33:40
286;52.2;dBC;05-04-24/14:33:50
287;49.8;dBC;05-04-24/14:34:00
288;54.3;dBC;05-04-24/14:34:10
289;50.8;dBC;05-04-24/14:34:20
290;51.9;dBC;05-04-24/14:34:30
291;53.6;dBC;05-04-24/14:34:40
292;52.9;dBC;05-04-24/14:34:50
293;51.0;dBC;05-04-24/14:35:00
294;53.1;dBC;05-04-24/14:35:10
295;54.8;dBC;05-04-24/14:35:20
296;54.1;dBC;05-04-24/14:35:30
297;53.4;dBC;05-04-24/14:35:40
298;51.5;dBC;05-04-24/14:35:50
299;54.6;dBC;05-04-24/14:36:00
300;52.2;dBC;05-04-24/14:36:10
301;53.6;dBC;05-04-24/14:36:20
